"","subjID","identification_post_ingroup","identification_post_outgroup","identification_pre_ingroup","identification_pre_outgroup","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","button_pressed","party","age","gender","ethnicity"
"158",81874951,2.33333333333333,0,2.33333333333333,0,0.6,0.4,0.2,0.8,1,"Democrat",41,"female","Caucasian"
"159",82256801,6,0,6,0,0.6,0.4,0.2,0.8,1,"Democrat",71,"female","white"
"160",83096853,1,1,1,1,0.2,0.8,0.6,0.4,1,"Democrat",28,"male","African American"
"161",83869089,3,2,3,2,0.8,0.2,0.4,0.6,0,"Republican",33,"female","white"
"162",84448761,4.66666666666667,0,4.66666666666667,0,0.8,0.6,0.2,0.4,1,"Democrat",32,"female","Latinx"
"163",84489643,3.33333333333333,1.33333333333333,3.33333333333333,1.33333333333333,0.2,0.8,0.4,0.6,1,"Democrat",32,"female","Black"
"164",86072705,3,1,2,0.333333333333333,0.2,0.6,0.4,0.8,0,"Republican",33,"female","mix"
"165",86265348,4.33333333333333,1.33333333333333,4.66666666666667,1,0.6,0.2,0.4,0.8,1,"Democrat",45,"female","Hispanic"
"166",86849980,2.66666666666667,1.33333333333333,2.66666666666667,1.33333333333333,0.6,0.2,0.4,0.8,1,"Democrat",23,"male","White"
"167",86972496,2,3,2,3,0.2,0.6,0.4,0.8,0,"Republican",73,"male","Caucasian"
"168",87101301,3.66666666666667,1,2,1.33333333333333,0.8,0.6,0.4,0.2,1,"Democrat",23,"male","white"
"169",87164086,1.33333333333333,0.666666666666667,1.66666666666667,1.33333333333333,0.6,0.2,0.4,0.8,1,"Democrat",37,"female","Asian"
"170",87299353,2,1,2,1,0.4,0.6,0.8,0.2,0,"Republican",23,"female","WHITE"
"171",88519589,6,0,6,0,0.8,0.2,0.4,0.6,0,"Republican",40,"male","white"
"172",89764657,5,1,5,2,0.6,0.2,0.4,0.8,0,"Republican",22,"male","White"
"173",90089141,4,3,4,3,0.4,0.8,0.2,0.6,0,"Republican",32,"female","white"
"174",90239260,4.33333333333333,0,4,0.666666666666667,0.6,0.4,0.8,0.2,1,"Democrat",39,"female","white"
"175",90867745,5.66666666666667,0,5.33333333333333,0,0.4,0.2,0.8,0.6,1,"Democrat",27,"female","white"
"176",91444495,4.66666666666667,0,4.66666666666667,0,0.2,0.8,0.4,0.6,1,"Democrat",36,"female","WHITE"
"177",92179012,4,3,4.33333333333333,3,0.6,0.8,0.2,0.4,1,"Democrat",28,"other","asian"
"178",92305700,5.33333333333333,0.666666666666667,5.33333333333333,0.666666666666667,0.8,0.6,0.2,0.4,0,"Republican",25,"female","White"
"179",93395820,5.33333333333333,1.33333333333333,5,1.33333333333333,0.6,0.2,0.8,0.4,1,"Democrat",38,"female","White"
"180",93408024,5,0,5,0,0.4,0.6,0.2,0.8,1,"Democrat",46,"male","hispanic"
"181",93483899,4.66666666666667,0.666666666666667,4.66666666666667,0.666666666666667,0.6,0.8,0.4,0.2,1,"Democrat",35,"female","Native American"
"182",95155418,4,4,4,2,0.8,0.2,0.4,0.6,0,"Republican",22,"female","white"
"183",95382750,3.66666666666667,0,3.66666666666667,0,0.6,0.8,0.2,0.4,1,"Democrat",32,"male","white"
"184",95524357,3,0,3,0,0.4,0.8,0.2,0.6,0,"Republican",36,"male","White"
"185",95663627,4.33333333333333,2.33333333333333,4,2.33333333333333,0.2,0.6,0.8,0.4,0,"Republican",29,"male","White"
"186",95984210,3,0,3,0,0.2,0.6,0.8,0.4,0,"Republican",33,"male","Caucasion"
"187",96769868,5,0,5.33333333333333,0,0.2,0.4,0.8,0.6,1,"Democrat",35,"female","Black"
"188",97259614,2.66666666666667,1.66666666666667,2.66666666666667,1.66666666666667,0.6,0.8,0.4,0.2,1,"Democrat",38,"male","African American"
"189",98053425,3,3,3,3,0.6,0.8,0.4,0.2,0,"Republican",31,"female","white"
"190",98854899,4,0,4.33333333333333,0,0.8,0.6,0.2,0.4,0,"Republican",35,"female","White"
"191",98967078,6,0,6,0,0.2,0.6,0.8,0.4,1,"Democrat",51,"male","Caucasian"
"192",99246116,5,3,5,3,0.2,0.8,0.4,0.6,0,"Republican",43,"female","european american"
"193",99724236,6,2,6,2,0.6,0.4,0.8,0.2,0,"Republican",51,"female","white"
"194",99764116,0.666666666666667,0,1,0,0.2,0.8,0.6,0.4,1,"Democrat",32,"male","Mexican"
"195",99826542,4,1.66666666666667,3.66666666666667,2,0.6,0.8,0.2,0.4,1,"Democrat",40,"female","white"
"196",99929490,2.33333333333333,1.66666666666667,3,1.66666666666667,0.6,0.2,0.8,0.4,0,"Republican",27,"female","black"
