subID,gems,bomb,pGems,chose80,chose60,chose40,chose20,it,lr,sticky
08157512,39,65,0.455555555555556,0.161111111111111,0.344444444444444,0.105555555555556,0.388888888888889,3.06737578241307,0.83797359604417,0.484763942606968
08295851,51,47,0.522777777777778,0.336111111111111,0.163888888888889,0.277777777777778,0.222222222222222,3.0262598973057,0.982748764719858,-0.380068960993379
10882846,47,43,0.512222222222222,0.291666666666667,0.236111111111111,0.213888888888889,0.258333333333333,2.75514048313397,0.545735996381298,1.36330086896593
12440507,53,61,0.491111111111111,0.25,0.225,0.255555555555556,0.269444444444444,6.09207493134679,0.408863766561074,2.18543004134299
13043210,44,62,0.492222222222222,0.241666666666667,0.213888888888889,0.308333333333333,0.236111111111111,16.8434981979166,0.736060687608415,0.784328450751474
13416255,55,39,0.592777777777778,0.477777777777778,0.219444444444444,0.0916666666666667,0.211111111111111,3.36019914947003,0.430103068975201,1.26916607582493
13786396,45,50,0.53,0.25,0.280555555555556,0.338888888888889,0.130555555555556,1.43769883996362,0.293464245910151,2.79545213682553
14859584,37,35,0.606666666666667,0.455555555555556,0.236111111111111,0.194444444444444,0.113888888888889,7.40299979380453,0.00686643869673758,0.766094209203004
14993367,45,61,0.494444444444444,0.277777777777778,0.183333333333333,0.272222222222222,0.266666666666667,4.43661090950928,0.9596412832646,-1.04757056094914
15068272,62,37,0.581111111111111,0.363888888888889,0.291666666666667,0.230555555555556,0.113888888888889,4.68754884841173,0.0138506164017732,0.385593351133112
15163609,58,47,0.516666666666667,0.266666666666667,0.308333333333333,0.166666666666667,0.258333333333333,4.23591530843272,0.953116350162943,1.00263740306948
15328969,42,64,0.484444444444444,0.288888888888889,0.163888888888889,0.227777777777778,0.319444444444444,3.24138281416787,0.674966000195735,1.97084504104783
16350575,57,53,0.480555555555556,0.255555555555556,0.138888888888889,0.358333333333333,0.247222222222222,4.8664510354076,0.611901241258422,1.47640746714786
18821922,43,55,0.446666666666667,0.15,0.163888888888889,0.455555555555556,0.230555555555556,5.95837360631276,0.381879405700595,2.62125376906014
