subID,gems,bomb,igbias,pGems,chose80,chose60,chose40,chose20,it,lr_pos,lr_neg,sticky,rt_mean,rt_tot
07927536,118,84,5.16666666666667,0.561666666666667,0.405555555555556,0.191666666666667,0.208333333333333,0.194444444444444,5.4118911339152,0.00589975306631499,0.00141914945247835,0.6433105209617,227.9,227.9
08394486,135,76,2.66666666666667,0.615555555555556,0.519444444444444,0.158333333333333,0.202777777777778,0.119444444444444,4.44384498319327,0.308704500791701,0.564315335324626,1.97409844254013,331.119444444444,331.119444444444
08784109,102,62,4.16666666666667,0.567777777777778,0.386111111111111,0.244444444444444,0.191666666666667,0.177777777777778,4.42264288121402,0.672755400565746,0.811302296604906,0.146431672858226,1096.75833333333,1096.75833333333
09912952,103,113,0,0.5,0.211111111111111,0.258333333333333,0.35,0.180555555555556,7.35340335938182,0.909730962792801,0.854585648723152,1.31699833560097,122.733333333333,122.733333333333
10401043,118,97,0.666666666666667,0.507777777777778,0.291666666666667,0.15,0.363888888888889,0.194444444444444,8.36999710290519,0.25936294404713,0.746430463813759,1.90702730241683,568.461111111111,568.461111111111
11439204,99,111,-0.5,0.511111111111111,0.283333333333333,0.233333333333333,0.238888888888889,0.244444444444444,10.9433841134331,0.622339579839641,0.768807328526149,0.586998618896586,310.255555555556,310.255555555556
11740801,92,121,2,0.458888888888889,0.15,0.3,0.244444444444444,0.305555555555556,5.65553892301062,0.795062343542655,0.608129859731306,2.37891061226148,315.591666666667,315.591666666667
12421422,127,85,-2,0.545555555555555,0.319444444444444,0.272222222222222,0.225,0.183333333333333,9.20694413264058,0.3776606174211,0.588875163781432,2.26460562690698,298.538888888889,298.538888888889
12537341,151,79,5.5,0.615555555555556,0.422222222222222,0.294444444444444,0.222222222222222,0.0611111111111111,6.4082085019442,0.487314583609878,0.67185646368175,1.5411648369234,375.419444444444,375.419444444444
12681289,92,121,6,0.465,0.161111111111111,0.305555555555556,0.230555555555556,0.302777777777778,16.6189016819919,0.346791723758107,0.826229893447235,-0.122711386618903,359.008333333333,359.008333333333
12823460,89,143,-2,0.417222222222222,0.113888888888889,0.211111111111111,0.322222222222222,0.352777777777778,5.81877447743776,0.105407867290426,0.72732266308034,1.84658106086888,301.077777777778,301.077777777778
12922303,113,103,4.33333333333333,0.541111111111111,0.25,0.397222222222222,0.161111111111111,0.191666666666667,6.67947900980517,0.635751040943543,0.556969142479397,1.32107255339577,235.563888888889,235.563888888889
16249020,98,127,3.66666666666667,0.502777777777778,0.247222222222222,0.263888888888889,0.244444444444444,0.244444444444444,10.663098827409,0.508747681364231,0.765300879241837,1.10159082706215,405.45,405.45
17287899,125,91,2.83333333333333,0.579444444444444,0.175,0.588888888888889,0.194444444444444,0.0416666666666667,6.19755108944951,0.461632868965228,0.850180603739171,-2.01270649530499,353.480555555556,353.480555555556
17322974,108,122,2,0.473333333333333,0.222222222222222,0.227777777777778,0.244444444444444,0.305555555555556,6.23447088497476,0.602055865392739,0.576709683181005,0.914267814923161,495.775,495.775
17447552,113,101,1.33333333333333,0.525,0.297222222222222,0.261111111111111,0.211111111111111,0.230555555555556,7.52915556982593,0.924693351829904,0.920950067358366,0.846537155139982,427.094444444444,427.094444444444
19350277,117,124,-1.5,0.49,0.294444444444444,0.119444444444444,0.327777777777778,0.258333333333333,3.42226030665099,0.312664730317083,0.198567607054371,-0.177103331348564,422.3,422.3
19576715,124,80,1.5,0.608888888888889,0.4,0.363888888888889,0.116666666666667,0.119444444444444,7.47093792917469,0.260675881212957,0.709285296108882,1.73346731693492,454.691666666667,454.691666666667
20619056,114,108,0,0.516666666666667,0.352777777777778,0.163888888888889,0.197222222222222,0.286111111111111,1.52339152894574,0.508709485798706,0.774627451381447,0.0681773591996317,576.575,576.575
