gems,bomb,igbias,pBurn,chose80,chose60,chose40,chose20,it,lr_pos,lr_neg,sticky,rt_mean,rt_tot
105,115,3.83333333333333,0.54,0.130555555555556,0.225,0.458333333333333,0.186111111111111,6.44876666689137,0.81203987963659,0.939786015928688,2.07767969262022,633.280555555556,227981
111,113,2,0.502222222222222,0.191666666666667,0.347222222222222,0.219444444444444,0.241666666666667,4.10245918014098,0.750793846747901,0.809395018091693,0.779395726036901,217.038888888889,78134
106,139,3.66666666666666,0.565555555555556,0.205555555555556,0.147222222222222,0.261111111111111,0.386111111111111,11.2119155976895,0.360352732712102,0.813766523545575,1.48695760409187,303.422222222222,109232
126,102,2.66666666666667,0.476666666666667,0.319444444444444,0.197222222222222,0.263888888888889,0.219444444444444,5.7584317567071,0.567261623965541,0.990862918382663,-0.3947450319396,509,183240
105,130,2.66666666666667,0.515555555555556,0.138888888888889,0.366666666666667,0.272222222222222,0.222222222222222,11.2893047540263,0.347655211554578,0.698579760950855,1.60018207713528,316.322222222222,113876
104,121,0,0.434444444444444,0.452777777777778,0.0944444444444444,0.280555555555556,0.172222222222222,8.63206118721545,0.539698796392291,0.883720383135392,-0.743351458844545,336.627777777778,121186
98,112,2.5,0.524444444444444,0.197222222222222,0.269444444444444,0.247222222222222,0.286111111111111,4.92369227677104,0.726579221814614,0.942057611038639,-0.473631724716272,677.405555555556,243866
86,92,1,0.501111111111111,0.258333333333333,0.241666666666667,0.236111111111111,0.263888888888889,0.720455973242384,0.861519108192105,0.721839431253187,-0.459021121557134,711.227777777778,256042
102,84,4.66666666666667,0.436111111111111,0.355555555555556,0.319444444444444,0.113888888888889,0.211111111111111,3.42099688712444,0.0200966001467177,0.233435159010298,1.7322093400665,569.833333333333,205140
128,95,3.66666666666667,0.496666666666667,0.127777777777778,0.447222222222222,0.238888888888889,0.186111111111111,7.82174506080671,0.369936536181847,0.93263124369688,1.08199261763147,358.833333333333,129180
130,104,4,0.461111111111111,0.375,0.15,0.269444444444444,0.205555555555556,7.77797624235023,0.702536808784794,0.838165319555291,1.25326903046557,733.047222222222,263897
